UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
153339,"A",,"R",32414,"A",,"G",36,"A",,"G",36,"A",,"A",,1
153366,"R",40496,"A",,"R",12165,"G",1350,"G",507,"G",1350,"G",507,"A",,2
153375,"R",58033,"A",,"R",623,"G",1934,"G",26,"G",1934,"G",26,"A",,2
153384,"R",50005,"A",,"A",,"G",1667,"A",,"R",1635,"A",,"A",,2
153409,"R",11976,"A",,"R",704,"G",399,"G",29,"G",399,"G",29,"A",,2
153418,"R",29630,"A",,"R",827,"G",988,"G",34,"G",988,"G",34,"A",,2
153427,"R",13080,"A",,"A",,"G",436,"A",,"G",436,"A",,"A",,2
153445,"R",130158,"R",2539248,"A",,"G",7160,"A",,"G",7160,"A",,"A",,3
153463,"A",,"R",38658,"A",,"G",43,"A",,"G",43,"A",,"A",,1
153472,"R",121030,"A",,"A",,"G",4034,"A",,"G",4034,"A",,"A",,2
153524,"R",140453,"A",,"A",,"G",4682,"A",,"G",4682,"A",,"A",,2
153533,"R",69316,"A",,"A",,"G",2311,"A",,"G",2311,"A",,"A",,2
153542,"R",592,"A",,"A",,"G",20,"A",,"G",20,"A",,"A",,2
153588,"A",,"R",39246,"A",,"G",44,"A",,"R",24,"A",,"A",,1
153597,"A",,"R",201735,"A",,"G",224,"A",,"G",224,"A",,"A",,1
153603,"R",762148,"A",,"R",78173,"G",25405,"G",3257,"G",25405,"G",3257,"R",588,2
153621,"R",17858,"A",,"A",,"G",595,"A",,"G",595,"A",,"A",,2
153630,"R",160324,"A",,"A",,"G",5344,"A",,"G",5344,"A",,"A",,2
153658,"R",608359,"A",,"R",106943,"G",20279,"G",4456,"G",20279,"R",5941,"R",1923,2
153737,"R",345076,"A",,"A",,"G",11503,"A",,"G",11503,"A",,"A",,2
153746,"A",,"R",115440,"A",,"G",128,"A",,"G",128,"A",,"A",,1
153764,"A",,"R",134930,"A",,"G",150,"A",,"G",150,"A",,"A",,1
153773,"A",,"R",118859,"A",,"G",132,"A",,"G",132,"A",,"A",,1
153782,"A",,"R",108260,"A",,"G",120,"A",,"G",120,"A",,"A",,1
