UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
159993,"R",195609,"A",,"R",16471,"G",6520,"G",686,"G",6520,"G",686,2
160001,"R",6771,"A",,"A",,"G",226,"A",,"G",226,"A",,2
160010,"R",22307,"A",,"A",,"G",744,"A",,"G",744,"A",,2
160029,"A",,"A",,"R",2624,"A",,"G",109,"A",,"G",109,2
160038,"R",215968,"A",,"R",16332,"G",7199,"G",681,"G",7199,"G",681,2
160047,"R",13661,"A",,"A",,"G",455,"A",,"G",455,"A",,2
160065,"R",26148,"A",,"R",2973,"G",872,"G",124,"G",872,"G",124,2
160074,"R",35719,"A",,"R",4961,"G",1191,"G",207,"G",1191,"G",207,2
160117,"A",,"R",62100,"A",,"G",69,"A",,"R",51,"A",,1
160126,"A",,"R",31500,"A",,"G",35,"A",,"G",35,"A",,1
160135,"A",,"R",76200,"A",,"G",85,"A",,"G",85,"A",,1
160199,"A",,"R",115500,"A",,"G",128,"A",,"G",128,"A",,1
160214,"R",3790,"A",,"A",,"G",126,"A",,"G",126,"A",,2
160311,"R",18719,"A",,"A",,"G",624,"A",,"G",624,"A",,2
160320,"A",,"R",102085,"A",,"G",113,"A",,"G",113,"A",,1
160348,"A",,"R",18065,"A",,"G",20,"A",,"G",20,"A",,1
160366,"R",4789,"A",,"A",,"G",160,"A",,"G",160,"A",,2
160384,"R",3407,"A",,"A",,"G",114,"A",,"G",114,"A",,2
160409,"R",2652,"A",,"A",,"G",88,"A",,"G",88,"A",,2
160427,"R",26044,"A",,"A",,"G",868,"A",,"G",868,"A",,2
160445,"A",,"R",118429,"A",,"G",132,"A",,"G",132,"A",,1
160472,"A",,"R",85656,"A",,"G",95,"A",,"G",95,"A",,1
160481,"R",29137,"R",31739,"A",,"G",1006,"A",,"G",1006,"A",,3
160524,"R",18878,"A",,"A",,"G",629,"A",,"G",629,"A",,2
160560,"R",5869,"A",,"A",,"G",196,"A",,"G",196,"A",,2
160579,"R",47794,"A",,"A",,"G",1593,"A",,"G",1593,"A",,2
160597,"A",,"R",85200,"A",,"G",95,"A",,"G",95,"A",,1
160612,"R",367151,"A",,"R",18698,"G",12238,"G",779,"G",12238,"G",779,2
160621,"R",196276,"A",,"R",25029,"G",6543,"G",1043,"G",6543,"G",1043,2
160630,"R",59855,"A",,"R",9670,"G",1995,"G",403,"G",1995,"G",403,2
160649,"R",58858,"A",,"A",,"G",1962,"A",,"G",1962,"A",,2
160658,"R",401217,"A",,"R",24886,"G",13374,"G",1037,"G",13374,"G",1037,2
160667,"R",23619,"A",,"A",,"G",787,"A",,"G",787,"A",,2
160676,"R",15359,"A",,"A",,"G",512,"A",,"G",512,"A",,2
160685,"R",10802,"A",,"A",,"G",360,"A",,"G",360,"A",,2
160694,"R",12310,"A",,"A",,"G",410,"A",,"G",410,"A",,2
160719,"R",8440,"A",,"A",,"G",281,"A",,"G",281,"A",,2
160755,"R",190316,"A",,"R",52741,"G",6344,"G",2198,"G",6344,"G",2198,2
160816,"R",6385,"A",,"A",,"G",213,"A",,"G",213,"A",,2
160843,"R",7738,"A",,"A",,"G",258,"A",,"G",258,"A",,2
160870,"R",2006,"A",,"A",,"G",67,"A",,"G",67,"A",,2
160904,"R",76432,"A",,"R",25901,"G",2548,"G",1079,"G",2548,"G",1079,2
160913,"R",10998,"R",88549,"A",,"G",465,"A",,"G",465,"A",,3
160940,"R",36438,"A",,"A",,"G",1215,"A",,"G",1215,"A",,2
160959,"R",9120,"A",,"R",419,"G",304,"G",17,"G",304,"G",17,2
160968,"R",81,"A",,"R",1442,"G",3,"G",60,"G",3,"G",60,2
160977,"R",15332,"A",,"A",,"G",511,"A",,"R",1754,"A",,2
160995,"R",11918,"A",,"A",,"G",397,"A",,"G",397,"A",,2
161004,"R",41433,"A",,"A",,"G",1381,"A",,"R",1705,"A",,2
161022,"R",2696,"A",,"A",,"G",90,"A",,"G",90,"A",,2
161059,"R",858,"A",,"A",,"G",29,"A",,"R",26,"A",,2
161077,"R",47514,"A",,"A",,"G",1584,"A",,"G",1584,"A",,2
161086,"R",59953,"A",,"A",,"G",1998,"A",,"G",1998,"A",,2
161138,"R",42522,"A",,"A",,"G",1417,"A",,"G",1417,"A",,2
161165,"R",59770,"A",,"R",6560,"G",1992,"G",273,"G",1992,"G",273,2
161192,"R",38964,"A",,"A",,"G",1299,"A",,"G",1299,"A",,2
161208,"A",,"R",99600,"A",,"G",111,"A",,"G",111,"A",,1
161217,"R",86498,"A",,"R",138,"G",2883,"G",6,"G",2883,"G",6,2
161226,"R",62415,"A",,"R",400,"G",2081,"G",17,"G",2081,"G",17,2
161235,"R",25108,"A",,"A",,"G",837,"A",,"G",837,"A",,2
161244,"R",19417,"A",,"A",,"G",647,"A",,"G",647,"A",,2
161253,"R",257847,"A",,"R",25059,"G",8595,"G",1044,"G",8595,"G",1044,2
161299,"R",26127,"A",,"R",345,"G",871,"G",14,"G",871,"G",14,2
161341,"R",31948,"A",,"A",,"G",1065,"A",,"G",1065,"A",,2
161378,"R",577,"A",,"A",,"G",19,"A",,"G",19,"A",,2
161457,"R",70729,"A",,"R",50729,"G",2358,"G",2114,"G",2358,"G",2114,2
161484,"R",22920,"A",,"A",,"G",764,"A",,"G",764,"A",,2
161493,"A",,"R",550609,"A",,"G",612,"A",,"G",612,"A",,1
161509,"R",9288,"A",,"R",849,"G",310,"G",35,"R",323,"R",28,2
161518,"R",47811,"A",,"R",14659,"G",1594,"G",611,"G",1594,"G",611,2
161527,"A",,"R",181101,"A",,"G",201,"A",,"G",201,"A",,1
161545,"R",111652,"A",,"A",,"G",3722,"A",,"G",3722,"A",,2
161554,"R",173745,"A",,"R",36902,"G",5792,"G",1538,"G",5792,"G",1538,2
161563,"R",20720,"A",,"R",2487,"G",691,"G",104,"G",691,"G",104,2
161572,"R",15853,"A",,"A",,"G",528,"A",,"R",556,"A",,2
161581,"R",9210,"A",,"A",,"G",307,"A",,"G",307,"A",,2
161615,"A",,"R",47793,"A",,"G",53,"A",,"G",53,"A",,1
161651,"A",,"R",54000,"A",,"G",60,"A",,"R",63,"A",,1
161688,"R",75474,"A",,"A",,"G",2516,"A",,"G",2516,"A",,2
161767,"R",287361,"A",,"A",,"G",9579,"A",,"G",9579,"A",,2
161776,"R",24509,"A",,"A",,"G",817,"A",,"G",817,"A",,2
161800,"A",,"R",143100,"A",,"G",159,"A",,"G",159,"A",,1
161855,"A",,"R",126000,"A",,"G",140,"A",,"G",140,"A",,1
161864,"R",143129,"A",,"A",,"G",4771,"A",,"G",4771,"A",,2
161873,"R",53688,"A",,"R",52687,"G",1790,"G",2195,"G",1790,"G",2195,2
161882,"R",16428,"A",,"R",363,"G",548,"G",15,"G",548,"G",15,2
162007,"R",119529,"A",,"R",16510,"G",3984,"G",688,"G",3984,"G",688,2
162061,"R",7261,"A",,"R",6018,"G",242,"G",251,"G",242,"G",251,2
162104,"R",40392,"A",,"A",,"G",1346,"A",,"G",1346,"A",,2
162122,"R",145727,"A",,"A",,"G",4858,"A",,"G",4858,"A",,2
162168,"R",47589,"A",,"A",,"G",1586,"A",,"G",1586,"A",,2
162210,"R",23581,"A",,"R",1596,"G",786,"G",67,"G",786,"G",67,2
162283,"R",87387,"A",,"R",10162,"G",2913,"G",423,"G",2913,"G",423,2
162335,"A",,"R",54200,"A",,"G",60,"A",,"G",60,"A",,1
162371,"A",,"R",769600,"A",,"G",855,"A",,"G",855,"A",,1
162557,"R",112042,"A",,"A",,"G",3735,"A",,"G",3735,"A",,2
162584,"R",129942,"A",,"R",10062,"G",4331,"G",419,"G",4331,"G",419,2
162609,"R",18510,"A",,"A",,"G",617,"A",,"G",617,"A",,2
162654,"R",43779,"A",,"R",10599,"G",1459,"G",442,"G",1459,"G",442,2
162681,"R",37505,"A",,"A",,"G",1250,"A",,"G",1250,"A",,2
162690,"R",80644,"A",,"A",,"G",2688,"A",,"G",2688,"A",,2
162706,"R",103738,"A",,"A",,"G",3458,"A",,"G",3458,"A",,2
162760,"R",39690,"A",,"R",11376,"G",1323,"G",474,"G",1323,"G",474,2
162779,"R",150918,"A",,"A",,"G",5031,"A",,"G",5031,"A",,2
162830,"R",1500,"A",,"A",,"G",50,"A",,"G",50,"A",,2
162928,"R",184694,"A",,"R",325352,"G",6156,"G",13556,"G",6156,"G",13556,2
162982,"A",,"R",119640,"A",,"G",133,"A",,"G",133,"A",,1
163028,"A",,"R",1227330,"A",,"G",1364,"A",,"G",1364,"A",,1
163046,"R",110500,"A",,"R",36967,"G",3683,"G",1540,"R",3763,"R",1495,2
163107,"A",,"R",58800,"A",,"G",65,"A",,"G",65,"A",,1
163204,"R",360685,"A",,"R",151492,"G",12023,"G",6312,"R",12023,"R",6345,2
163259,"R",21542,"A",,"R",131396,"G",718,"G",5475,"G",718,"G",5475,2
163268,"R",277554,"A",,"R",28696,"G",9252,"G",1196,"G",9252,"G",1196,2
163286,"R",786008,"A",,"R",153221,"G",26200,"G",6384,"G",26200,"G",6384,2
163295,"R",52418,"A",,"R",4831,"G",1747,"G",201,"G",1747,"G",201,2
163338,"R",106483,"A",,"R",6309,"G",3549,"G",263,"G",3549,"G",263,2
163347,"R",35735,"A",,"A",,"G",1191,"A",,"G",1191,"A",,2
163408,"A",,"R",108000,"A",,"G",120,"A",,"G",120,"A",,1
163426,"R",490571,"A",,"A",,"G",16352,"A",,"R",14748,"A",,2
163453,"R",165090,"A",,"R",13913,"G",5503,"G",580,"G",5503,"G",580,2
163462,"R",48532,"A",,"R",9166,"G",1618,"G",382,"G",1618,"G",382,2
163532,"R",13887,"A",,"R",4252,"G",463,"G",177,"G",463,"G",177,2
163541,"A",,"R",222300,"A",,"G",247,"A",,"G",247,"A",,1
163578,"R",30066,"A",,"R",20548,"G",1002,"G",856,"G",1002,"G",856,2
