;Z,ENSIGN,WESTMIN,WSU_MAIN,WSU_DAVIS,SLCC_SC,BYU,SLCC_MAIN,UVU_MAIN,UOFU_MAIN,SLCC_JD,SLCC_ML
617,0,0,4,3,16,0,0,0,0,0,0
618,2,0,19,1,0,0,0,0,0,0,0
620,0,0,4,6,0,0,0,0,0,0,0
621,0,0,8,3,0,0,0,0,0,0,0
622,0,0,21,0,0,0,0,0,0,0,0
624,0,0,5,2,0,0,0,0,0,0,0
625,0,0,34,2,0,0,0,0,0,0,0
627,0,0,18,2,0,0,0,0,13,0,0
632,0,0,5,2,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,8,1,0
635,0,0,0,0,0,0,0,17,0,0,0
636,0,0,0,1,0,0,0,0,0,0,0
637,0,0,34,39,0,0,0,0,11,0,0
638,0,0,32,6,0,3,0,0,0,0,0
641,0,0,15,0,0,0,0,0,0,0,0
642,0,0,16,9,0,0,0,0,37,0,0
643,0,0,40,1,0,0,0,0,0,0,0
644,0,0,47,1,0,0,0,0,0,0,0
645,0,0,8,3,0,0,0,0,0,0,0
646,0,0,4,4,0,0,0,0,1,16,0
648,8,0,4,7,0,0,0,0,0,0,0
649,0,0,0,2,0,0,0,0,0,0,0
650,0,0,0,2,0,0,0,0,0,0,0
652,0,0,0,0,0,0,0,0,0,0,0
653,2,0,2,5,0,0,0,0,0,0,0
654,0,0,0,3,0,0,0,0,0,0,0
655,0,0,0,4,0,0,0,0,0,0,0
656,0,0,31,8,0,0,0,0,0,0,0
658,0,0,3,4,0,0,0,0,4,0,0
659,0,0,1,2,0,0,0,0,1,0,0
660,0,0,3,2,3,0,109,0,0,0,0
661,2,1,5,6,0,0,0,0,2,0,0
662,0,0,12,108,0,1,0,0,0,0,0
663,0,0,2,0,0,0,0,0,0,0,0
664,0,0,51,10,0,0,0,0,2,4,0
665,0,0,35,10,0,1,0,0,0,0,0
666,8,0,57,5,0,0,0,0,55,0,0
667,0,0,0,2,0,0,0,0,0,0,0
668,0,0,0,4,0,0,0,0,0,0,0
669,0,0,6,3,0,0,0,9,0,0,0
670,0,0,77,6,0,0,0,68,50,0,0
671,0,0,11,38,0,0,0,0,0,0,0
672,3,0,7,3,0,0,0,0,0,0,0
673,0,0,10,7,0,0,0,0,0,0,0
674,0,0,27,7,0,0,0,0,22,0,0
675,0,0,49,3,0,0,0,0,0,0,0
677,0,0,0,3,0,0,0,0,0,0,0
678,0,0,20,2,0,0,0,0,0,0,0
679,5,0,39,6,0,0,0,0,0,0,0
680,0,0,17,19,0,0,0,0,4,0,0
681,2,0,29,44,0,1,0,0,53,0,0
682,0,0,156,8,0,0,0,0,7,0,0
684,0,0,0,2,0,0,0,0,0,0,0
685,0,0,0,2,0,0,0,0,0,0,0
686,0,0,39,9,0,0,0,0,0,0,0
687,0,0,20,17,0,0,0,0,0,0,0
690,0,0,18,3,0,0,0,0,0,0,0
691,0,0,26,6,0,0,0,0,0,0,0
692,0,0,15,4,0,0,0,0,0,0,0
693,2,0,153,19,0,0,14,0,0,0,0
694,0,0,0,8,0,0,0,23,0,0,0
695,0,0,0,0,0,0,0,0,0,0,0
696,0,0,58,15,0,0,46,0,0,0,1
697,0,0,84,11,0,1,0,18,0,0,0
698,0,0,53,4,0,0,0,0,35,0,1
699,0,0,7,12,0,0,0,0,0,0,0
700,0,0,8,20,0,0,0,0,3,0,0
701,0,0,15,37,0,0,0,26,0,0,0
702,0,0,72,2,0,0,0,0,0,0,0
703,0,0,22,10,1,0,0,0,2,0,0
704,1,0,12,18,0,0,6,31,2,0,0
705,0,0,57,13,1,0,0,0,0,0,0
706,0,0,6,1,0,0,0,0,0,0,0
707,0,0,28,17,4,0,0,0,0,0,0
708,0,0,109,13,6,0,63,0,0,0,0
709,0,0,0,0,0,0,0,0,3,0,0
710,3,0,5,5,1,0,0,0,2,0,0
712,0,0,1,0,0,0,0,0,0,0,0
713,0,0,4,8,0,0,0,0,0,0,0
714,0,0,55,6,6,0,0,0,62,0,0
715,0,0,0,1,0,0,0,0,0,0,0
716,0,0,3,0,0,0,0,0,6,0,0
717,0,0,0,2,3,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0,0,0,0
720,0,0,1,7,0,0,0,0,1,0,0
721,0,0,0,2,0,0,0,0,5,0,0
722,0,0,8,2,0,0,0,0,0,0,2
723,0,0,44,11,0,0,0,0,0,0,0
724,0,0,3,14,0,0,0,0,0,0,0
725,0,0,3,1,0,0,0,0,6,0,0
726,0,0,0,0,10,0,0,0,0,0,0
728,0,0,4,0,0,0,0,0,4,0,0
729,0,0,9,0,0,0,0,0,1,0,0
730,0,0,48,10,0,0,0,22,54,0,0
731,0,0,37,4,0,0,0,0,0,0,0
732,0,0,0,2,0,0,0,0,0,0,0
